Device	Assay Name	AssayType	AssayTypeCode	Species	Name	UnitsSystem	Units	dblConversionFactor	nPrecision	VeryLow	Low	High	VeryHigh					
Catalyst Dx	alanine aminotransferase	ALT	ALT	Canine	Puppy	English	U/L			0	8	75	2000					
Catalyst Dx	alanine aminotransferase	ALT	ALT	Canine	Puppy	French	U/L			0	8	75	2000					
Catalyst Dx	alanine aminotransferase	ALT	ALT	Canine	Puppy	S.I.	U/L			0	8	75	2000					
Catalyst Dx	alanine aminotransferase	ALT	ALT	Control	Other Control	English	U/L			-9999999	-9999999	9999999	9999999					
Catalyst Dx	alanine aminotransferase	ALT	ALT	Control	Other Control	French	U/L			-9999999	-9999999	9999999	9999999					
Catalyst Dx	alanine aminotransferase	ALT	ALT	Control	Other Control	S.I.	U/L			-9999999	-9999999	9999999	9999999					
Catalyst Dx	alanine aminotransferase	ALT	ALT	Equine	Adult Equine	English	U/L			0	5	29	500					
Catalyst Dx	alanine aminotransferase	ALT	ALT	Equine	Adult Equine	French	U/L			0	5	29	500					
Catalyst Dx	alanine aminotransferase	ALT	ALT	Equine	Adult Equine	S.I.	U/L			0	5	29	500					
Catalyst Dx	alanine aminotransferase	ALT	ALT	Equine	Foal	English	U/L			0	0	14	500					
Catalyst Dx	alanine aminotransferase	ALT	ALT	Equine	Foal	French	U/L			0	0	14	500					
Catalyst Dx	alanine aminotransferase	ALT	ALT	Equine	Foal	S.I.	U/L			0	0	14	500					
Catalyst Dx	alanine aminotransferase	ALT	ALT	Equine	Mare at Stud	English	U/L			0	0	20	500					
Catalyst Dx	alanine aminotransferase	ALT	ALT	Equine	Mare at Stud	French	U/L			0	0	20	500					
Catalyst Dx	alanine aminotransferase	ALT	ALT	Equine	Mare at Stud	S.I.	U/L			0	0	20	500					
Catalyst Dx	alanine aminotransferase	ALT	ALT	Equine	Yearling	English	U/L			0	5	30	500					
Catalyst Dx	alanine aminotransferase	ALT	ALT	Equine	Yearling	French	U/L			0	5	30	500					
Catalyst Dx	alanine aminotransferase	ALT	ALT	Equine	Yearling	S.I.	U/L			0	5	30	500					
Catalyst Dx	alanine aminotransferase	ALT	ALT	Feline	Adult Feline	English	U/L			0	12	130	2000					
Catalyst Dx	alanine aminotransferase	ALT	ALT	Feline	Adult Feline	French	U/L			0	12	130	2000					
Catalyst Dx	alanine aminotransferase	ALT	ALT	Feline	Adult Feline	S.I.	U/L			0	12	130	2000					
Catalyst Dx	alanine aminotransferase	ALT	ALT	Feline	Geriatric Feline	English	U/L			0	12	130	2000					
Catalyst Dx	alanine aminotransferase	ALT	ALT	Feline	Geriatric Feline	French	U/L			0	12	130	2000					
Catalyst Dx	alanine aminotransferase	ALT	ALT	Feline	Geriatric Feline	S.I.	U/L			0	12	130	2000					
Catalyst Dx	alanine aminotransferase	ALT	ALT	Feline	Kitten	English	U/L			0	12	115	2000					
Catalyst Dx	alanine aminotransferase	ALT	ALT	Feline	Kitten	French	U/L			0	12	115	2000					
Catalyst Dx	alanine aminotransferase	ALT	ALT	Feline	Kitten	S.I.	U/L			0	12	115	2000					
Catalyst Dx	alanine aminotransferase	ALT	ALT	Ferret	Ferret	English	U/L			0	82	289	610.2					
Catalyst Dx	alanine aminotransferase	ALT	ALT	Ferret	Ferret	French	U/L			0	82	289	610.2					
Catalyst Dx	alanine aminotransferase	ALT	ALT	Ferret	Ferret	S.I.	U/L			0	82	289	610.2					
Catalyst Dx	alanine aminotransferase	ALT	ALT	Goat	Goat	English	U/L			0	23	44	92.9					
Catalyst Dx	alanine aminotransferase	ALT	ALT	Goat	Goat	French	U/L			0	23	44	92.9					
Catalyst Dx	alanine aminotransferase	ALT	ALT	Goat	Goat	S.I.	U/L			0	23	44	92.9					
Catalyst Dx	alanine aminotransferase	ALT	ALT	Lizard	Lizard	English	U/L			-9999999	-9999999	9999999	9999999					
Catalyst Dx	alanine aminotransferase	ALT	ALT	Lizard	Lizard	French	U/L			-9999999	-9999999	9999999	9999999					
Catalyst Dx	alanine aminotransferase	ALT	ALT	Lizard	Lizard	S.I.	U/L			-9999999	-9999999	9999999	9999999					
Catalyst Dx	alanine aminotransferase	ALT	ALT	Llama	Llama	English	U/L			-9999999	10	29	9999999					
Catalyst Dx	alanine aminotransferase	ALT	ALT	Llama	Llama	French	U/L			-9999999	10	29	9999999					
Catalyst Dx	alanine aminotransferase	ALT	ALT	Llama	Llama	S.I.	U/L			-9999999	10	29	9999999					
Catalyst Dx	alanine aminotransferase	ALT	ALT	Monkey	Monkey	English	U/L			0	20	120	253.4					
Catalyst Dx	alanine aminotransferase	ALT	ALT	Monkey	Monkey	French	U/L			0	20	120	253.4					
Catalyst Dx	alanine aminotransferase	ALT	ALT	Monkey	Monkey	S.I.	U/L			0	20	120	253.4					
Catalyst Dx	alanine aminotransferase	ALT	ALT	Mouse	Mouse	English	U/L			0	28	132	278.7					
Catalyst Dx	alanine aminotransferase	ALT	ALT	Mouse	Mouse	French	U/L			0	28	132	278.7					
Catalyst Dx	alanine aminotransferase	ALT	ALT	Mouse	Mouse	S.I.	U/L			0	28	132	278.7					
Catalyst Dx	alanine aminotransferase	ALT	ALT	Other	Other	English	U/L			-9999999	-9999999	9999999	9999999					
Catalyst Dx	alanine aminotransferase	ALT	ALT	Other	Other	French	U/L			-9999999	-9999999	9999999	9999999					
Catalyst Dx	alanine aminotransferase	ALT	ALT	Other	Other	S.I.	U/L			-9999999	-9999999	9999999	9999999					
Catalyst Dx	alanine aminotransferase	ALT	ALT	Pig	Pig	English	U/L			0	9	43	90.8					
Catalyst Dx	alanine aminotransferase	ALT	ALT	Pig	Pig	French	U/L			0	9	43	90.8					
Catalyst Dx	alanine aminotransferase	ALT	ALT	Pig	Pig	S.I.	U/L			0	9	43	90.8					
Catalyst Dx	alanine aminotransferase	ALT	ALT	Rabbit	Rabbit	English	U/L			0	31	53	111.9					
Catalyst Dx	alanine aminotransferase	ALT	ALT	Rabbit	Rabbit	French	U/L			0	31	53	111.9					
Catalyst Dx	alanine aminotransferase	ALT	ALT	Rabbit	Rabbit	S.I.	U/L			0	31	53	111.9					
Catalyst Dx	alanine aminotransferase	ALT	ALT	Rat	Rat	English	U/L			0	20	61	128.8					
Catalyst Dx	alanine aminotransferase	ALT	ALT	Rat	Rat	French	U/L			0	20	61	128.8					
Catalyst Dx	alanine aminotransferase	ALT	ALT	Rat	Rat	S.I.	U/L			0	20	61	128.8					
Catalyst Dx	alanine aminotransferase	ALT	ALT	Sea Turtle	Sea Turtle	English	U/L			-9999999	-9999999	9999999	9999999					
Catalyst Dx	alanine aminotransferase	ALT	ALT	Sea Turtle	Sea Turtle	French	U/L			-9999999	-9999999	9999999	9999999					
Catalyst Dx	alanine aminotransferase	ALT	ALT	Sea Turtle	Sea Turtle	S.I.	U/L			-9999999	-9999999	9999999	9999999					
Catalyst Dx	alanine aminotransferase	ALT	ALT	Sheep	Sheep	English	U/L			0	5	17	35.9					
Catalyst Dx	alanine aminotransferase	ALT	ALT	Sheep	Sheep	French	U/L			0	5	17	35.9					
Catalyst Dx	alanine aminotransferase	ALT	ALT	Sheep	Sheep	S.I.	U/L			0	5	17	35.9					
Catalyst Dx	alanine aminotransferase	ALT	ALT	Snake	Snake	English	U/L			0	10	260	549					
Catalyst Dx	alanine aminotransferase	ALT	ALT	Snake	Snake	French	U/L			0	10	260	549					
Catalyst Dx	alanine aminotransferase	ALT	ALT	Snake	Snake	S.I.	U/L			0	10	260	549					
Catalyst Dx	alanine aminotransferase	ALT	ALT	Tortoise	Tortoise	English	U/L			-9999999	-9999999	9999999	9999999					
Catalyst Dx	alanine aminotransferase	ALT	ALT	Tortoise	Tortoise	French	U/L			-9999999	-9999999	9999999	9999999					
Catalyst Dx	alanine aminotransferase	ALT	ALT	Tortoise	Tortoise	S.I.	U/L			-9999999	-9999999	9999999	9999999					
Catalyst Dx	albumin	ALB	ALB	Avian	African Gray	English	g/dL			0.3	0.75	4.9	6.2					
Catalyst Dx	albumin	ALB	ALB	Avian	African Gray	French	g/L			0.3	0.75	4.9	6.2					
Catalyst Dx	albumin	ALB	ALB	Avian	African Gray	S.I.	g/L			0.3	0.75	4.9	6.2					
Catalyst Dx	albumin	ALB	ALB	Avian	Amazon Blue-Feather	English	g/dL			0.3	0.74	1.7	2.1					
Catalyst Dx	albumin	ALB	ALB	Avian	Amazon Blue-Feather	French	g/L			0.3	0.74	1.7	2.1					
Catalyst Dx	albumin	ALB	ALB	Avian	Amazon Blue-Feather	S.I.	g/L			0.3	0.74	1.7	2.1					
Catalyst Dx	albumin	ALB	ALB	Avian	Amazon Yellow	English	g/dL			0.2	0.66	1.27	1.6					
Catalyst Dx	albumin	ALB	ALB	Avian	Amazon Yellow	French	g/L			0.2	0.66	1.27	1.6					
Catalyst Dx	albumin	ALB	ALB	Avian	Amazon Yellow	S.I.	g/L			0.2	0.66	1.27	1.6					
Catalyst Dx	albumin	ALB	ALB	Avian	Budgerigar	English	g/dL			0.2	0.6	2.6	3.3					
Catalyst Dx	albumin	ALB	ALB	Avian	Budgerigar	French	g/L			0.2	0.6	2.6	3.3					
Catalyst Dx	albumin	ALB	ALB	Avian	Budgerigar	S.I.	g/L			0.2	0.6	2.6	3.3					
Catalyst Dx	albumin	ALB	ALB	Avian	Canary	English	g/dL			0.3	0.75	4.9	6.2					
Catalyst Dx	albumin	ALB	ALB	Avian	Canary	French	g/L			0.3	0.75	4.9	6.2					
Catalyst Dx	albumin	ALB	ALB	Avian	Canary	S.I.	g/L			0.3	0.75	4.9	6.2					
Catalyst Dx	albumin	ALB	ALB	Avian	Cockatiel	English	g/dL			0.3	0.75	4.9	6.2					
Catalyst Dx	albumin	ALB	ALB	Avian	Cockatiel	French	g/L			0.3	0.75	4.9	6.2					
Catalyst Dx	albumin	ALB	ALB	Avian	Cockatiel	S.I.	g/L			0.3	0.75	4.9	6.2					
Catalyst Dx	albumin	ALB	ALB	Avian	Cockatoo Molu	English	g/dL			0.4	0.99	2.87	3.6					
Catalyst Dx	albumin	ALB	ALB	Avian	Cockatoo Molu	French	g/L			0.4	0.99	2.87	3.6					
Catalyst Dx	albumin	ALB	ALB	Avian	Cockatoo Molu	S.I.	g/L			0.4	0.99	2.87	3.6					
Catalyst Dx	albumin	ALB	ALB	Avian	Cockatoo Umber	English	g/dL			0.3	0.89	2.74	3.5					
Catalyst Dx	albumin	ALB	ALB	Avian	Cockatoo Umber	French	g/L			0.3	0.89	2.74	3.5					
Catalyst Dx	albumin	ALB	ALB	Avian	Cockatoo Umber	S.I.	g/L			0.3	0.89	2.74	3.5					
